trade_licence_no,business_name,proprietor_name,trade_category,business_address,ward_name,ward_no,pin_code,pan,gstin,mobile,email,licence_issue_date,licence_expiry_date,licence_status,num_employees,annual_turnover
BBMP/560058/0001,Chemicals Star Ltd,Rajesh Kumar,GARMENT,"693/9, Cross Road, Peenya, Bengaluru, B'lore",Peenya,154,560058,,,9131994523,,2004-07-26,2027-07-26,ACTIVE,100,14044398.0
BBMP/560100/0002,Mphasis Paper Limited,Suresh Nair,FACTORY,"349/5, 3rd Main, Electronic City Phase 1, Bengaluru, B'lore",Electronic City Phase 1,175,560100,CJJHL6875M,,9774996843,,1990-07-01,2027-07-01,ACTIVE,638,46647616.0
BBMP/560100/0003,Beverages United Corporation,Priya Reddy,FACTORY,"1st Cross, Hosur Road, Bengaluru, B'lore",Hosur Road,49,560100,FGYHU0652O,29FGYHU0652O9ZE,,,1996-09-03,2027-09-03,ACTIVE,799,47159174.0
BBMP/560100/0004,Srinivasa Auto Parts Traders,Anitha Sharma,FACTORY,"143/4, 1st Cross, Electronic City Phase 1, Bengaluru, B'lore",Electronic City Phase 1,80,560100,GPXAM3914Y,,9773715057,,2019-03-22,2027-03-22,ACTIVE,168,49452461.0
BBMP/560100/0005,United Textiles Co,Priya Kumar,FACTORY,"769/5, Service Road, Kudlu Gate, Bengaluru, 560100",Kudlu Gate,142,560100,CLLHX8251D,29CLLHX8251D5ZW,9264109919,,1997-11-26,2027-11-26,CANCELLED,387,5807242.0
BBMP/560100/0008,Janatha Auto Parts Group,Priya Nair,FACTORY,"100/7, Cross Road, Electronic City Phase 1, Bengaluru, B'lore",Electronic City Phase 1,147,560100,MSRFU0438H,,,,2016-12-28,2027-12-28,ACTIVE,437,40903698.0
BBMP/560058/0009,Srinivasa Printing Corporation,Ramesh Nair,GARMENT,"Factory Road, Peenya Industrial Area, Bengaluru, B'lore",Peenya Industrial Area,116,560058,WXECA9274N,29WXECA9274N9ZV,,,1990-10-20,2027-10-20,CANCELLED,227,33255306.0
BBMP/560100/0010,Southern Valves Works,Ramesh Kumar,FACTORY,"83/3, Service Road, Bommanahalli, Bengaluru, 560100",Bommanahalli,64,560100,,,9352548261,,2000-11-20,2027-11-20,ACTIVE,418,20902960.0
BBMP/560100/0011,Premier Furniture Enterprises,Rajesh Kumar,PRINTING,"245/5, 2nd Cross, Electronic City Phase 1, Bengaluru, 560100",Electronic City Phase 1,161,560100,LYYHA4990G,29LYYHA4990G3ZM,,,2006-08-07,2027-08-07,ACTIVE,296,20137459.0
BBMP/560058/0012,KS Ceramics Pvt Ltd,Rajesh Kumar,FACTORY,"Cross Road, Rajajinagar Industrial Estate, Bengaluru, 560058",Rajajinagar Industrial Estate,123,560058,HPSCG6852B,,9397083132,,1998-02-17,2027-02-17,ACTIVE,50,21756881.0
BBMP/560100/0013,Engineering Shree Pvt Ltd,Priya Rao,FACTORY,"Main Road, Neeladri Nagar, Bengaluru, 560100",Neeladri Nagar,170,560100,LBJCZ9036V,,,,1999-04-19,2027-04-19,ACTIVE,772,42868564.0
BBMP/560100/0015,Mahalaxmi Chemicals Private Limited,Suresh Kumar,GARMENT,"611/7, Cross Road, Bommanahalli, Bengaluru, 560100",Bommanahalli,100,560100,LZDHS1045Z,29LZDHS1045Z4ZN,9813219781,,2006-07-16,2027-07-16,ACTIVE,343,42915487.0
BBMP/560100/0019,Sri Foods Corporation,Anitha Rao,FACTORY,"878/7, Main Road, Hosur Road, Bengaluru, 560100",Hosur Road,187,560100,HKXHN5778P,,9131165166,,2016-01-16,2027-01-16,ACTIVE,403,38555174.0
BBMP/560100/0022,Premier Textiles International,Anitha Nair,FACTORY,"3rd Main, Neeladri Nagar, Bengaluru, 560100",Neeladri Nagar,27,560100,,,,,2009-12-26,2027-12-26,ACTIVE,253,5419943.0
BBMP/560058/0023,Modern Metals Co,Ramesh Kumar,FACTORY,"Service Road, Peenya Industrial Area, Bengaluru, B'lore",Peenya Industrial Area,132,560058,,,9626350075,,2013-05-20,2027-05-20,SUSPENDED,113,21235602.0
